StateDesc,Measure,Avg_Data_Value,Min_Confidence_Limit,Max_Confidence_Limit,Population
Alaska,Cholesterol screening among adults,73.925,56.4,82.9,24452.766666666666
Alaska,Chronic obstructive pulmonary disease among adults,7.333333333333333,4.0,14.6,24452.766666666666
Alaska,Cognitive disability among adults,15.53,10.3,29.9,24452.766666666666
Alaska,Colorectal cancer screening among adults aged 45–75 years,54.19166666666667,34.2,69.5,24452.766666666666
Alaska,Coronary heart disease among adults,7.288333333333333,4.4,12.1,24452.766666666666
Alaska,Current asthma among adults,11.048333333333334,7.0,16.7,24452.766666666666
Alaska,Current cigarette smoking among adults,20.483333333333334,12.0,41.9,24452.766666666666
Alaska,Current lack of health insurance among adults aged 18-64 years,10.728333333333333,5.2,20.0,24452.766666666666
Alaska,Depression among adults,20.05666666666667,10.2,28.9,24452.766666666666
Alaska,Diagnosed diabetes among adults,10.673333333333334,6.2,19.9,24452.766666666666
Alaska,Fair or poor self-rated health status among adults,19.441666666666666,11.2,40.1,24452.766666666666
Alaska,Feeling socially isolated among adults,37.291666666666664,27.6,50.0,24452.766666666666
Alaska,Food insecurity in the past 12 months among adults,18.083333333333332,8.7,49.2,24452.766666666666
Alaska,Frequent mental distress among adults,17.158333333333335,11.8,28.8,24452.766666666666
Alaska,Frequent physical distress among adults,14.67,9.5,27.4,24452.766666666666
Alaska,Hearing disability among adults,9.338333333333333,5.7,17.1,24452.766666666666
Alaska,High blood pressure among adults,31.18166666666667,21.7,45.3,24452.766666666666
Alaska,High cholesterol among adults who have ever been screened,30.10666666666667,22.0,44.1,24452.766666666666
Alaska,Housing insecurity in the past 12 months among adults,14.903333333333334,7.6,34.2,24452.766666666666
Alaska,Independent living disability among adults,8.946666666666665,5.4,19.8,24452.766666666666
Alaska,Lack of reliable transportation in the past 12 months among adults,12.298333333333334,6.4,30.9,24452.766666666666
Alaska,Lack of social and emotional support among adults,28.83833333333333,19.3,41.8,24452.766666666666
Alaska,Mammography use among women aged 50-74 years,64.69500000000001,38.6,79.4,24452.766666666666
Alaska,Mobility disability among adults,13.578333333333335,7.5,27.9,24452.766666666666
Alaska,No leisure-time physical activity among adults,25.12,16.5,46.0,24452.766666666666
Alaska,Obesity among adults,34.458333333333336,23.3,55.1,24452.766666666666
Alaska,Received food stamps in the past 12 months among adults,15.896666666666667,6.8,51.4,24452.766666666666
Alaska,Self-care disability among adults,4.071666666666667,2.3,9.7,24452.766666666666
Alaska,Short sleep duration among adults,37.13,25.1,54.0,24452.766666666666
Alaska,Stroke among adults,3.9916666666666667,2.2,8.2,24452.766666666666
Alaska,Taking medicine to control high blood pressure among adults with high blood pressure,61.205000000000005,44.5,80.3,24452.766666666666
Alaska,Utility services shut-off threat in the past 12 months among adults,9.803333333333335,4.9,25.5,24452.766666666666
Alaska,Vision disability among adults,6.066666666666666,3.4,14.3,24452.766666666666
Alaska,Visited dentist or dental clinic in the past year among adults,53.69833333333334,28.3,66.9,24452.766666666666
Alaska,Visits to doctor for routine checkup within the past year among adults,65.30166666666666,56.8,75.2,24452.766666666666
Arizona,All teeth lost among adults aged >=65 years,17.226666666666667,8.0,34.0,490613.13333333336
Arizona,Any disability among adults,36.78,26.9,52.7,490613.13333333336
Arizona,Arthritis among adults,26.796666666666667,18.4,40.3,490613.13333333336
Arizona,Binge drinking among adults,17.44333333333333,9.6,23.3,490613.13333333336
Arizona,Cancer (non-skin) or melanoma among adults,8.073333333333332,5.1,14.7,490613.13333333336
Arizona,Cholesterol screening among adults,81.00333333333333,71.8,88.3,490613.13333333336
Arizona,Chronic obstructive pulmonary disease among adults,8.32,5.0,15.9,490613.13333333336
Arizona,Cognitive disability among adults,17.459999999999997,13.0,27.2,490613.13333333336
Arizona,Colorectal cancer screening among adults aged 45–75 years,53.513333333333335,40.7,68.1,490613.13333333336
Arizona,Coronary heart disease among adults,7.92,5.1,16.4,490613.13333333336
Arizona,Current asthma among adults,11.096666666666666,8.5,16.8,490613.13333333336
Arizona,Current cigarette smoking among adults,15.996666666666668,10.6,29.7,490613.13333333336
Arizona,Current lack of health insurance among adults aged 18-64 years,13.3,5.7,29.1,490613.13333333336
Arizona,Depression among adults,22.346666666666668,15.7,28.2,490613.13333333336
Arizona,Diagnosed diabetes among adults,13.393333333333334,8.0,22.3,490613.13333333336
Arizona,Fair or poor self-rated health status among adults,22.6,14.9,36.2,490613.13333333336
Arizona,Feeling socially isolated among adults,35.96666666666667,28.3,45.6,490613.13333333336
Arizona,Food insecurity in the past 12 months among adults,18.35666666666667,10.5,37.6,490613.13333333336
Arizona,Frequent mental distress among adults,19.2,13.7,28.9,490613.13333333336
Arizona,Frequent physical distress among adults,16.076666666666668,11.2,24.9,490613.13333333336
Arizona,Hearing disability among adults,8.893333333333334,5.5,17.6,490613.13333333336
Arizona,High blood pressure among adults,31.279999999999998,21.9,49.3,490613.13333333336
Arizona,High cholesterol among adults who have ever been screened,31.673333333333332,22.0,45.9,490613.13333333336
Arizona,Housing insecurity in the past 12 months among adults,15.736666666666668,8.7,28.8,490613.13333333336
Arizona,Independent living disability among adults,10.03,6.9,17.5,490613.13333333336
Arizona,Lack of reliable transportation in the past 12 months among adults,11.393333333333334,6.6,24.2,490613.13333333336
Arizona,Lack of social and emotional support among adults,28.163333333333334,21.3,38.8,490613.13333333336
Arizona,Mammography use among women aged 50-74 years,66.96666666666667,50.0,79.5,490613.13333333336
Arizona,Mobility disability among adults,17.13,10.8,30.3,490613.13333333336
Arizona,No leisure-time physical activity among adults,26.266666666666666,15.1,39.3,490613.13333333336
Arizona,Obesity among adults,34.54666666666667,21.6,47.9,490613.13333333336
Arizona,Received food stamps in the past 12 months among adults,16.69666666666667,9.3,37.3,490613.13333333336
Arizona,Self-care disability among adults,4.873333333333333,3.0,9.0,490613.13333333336
Arizona,Short sleep duration among adults,36.669999999999995,27.6,47.5,490613.13333333336
Arizona,Stroke among adults,4.21,2.7,8.1,490613.13333333336
Arizona,Taking medicine to control high blood pressure among adults with high blood pressure,65.75333333333333,46.0,85.8,490613.13333333336
Arizona,Utility services shut-off threat in the past 12 months among adults,9.906666666666666,5.3,21.1,490613.13333333336
Arizona,Vision disability among adults,7.3566666666666665,4.7,12.9,490613.13333333336
Arizona,Visited dentist or dental clinic in the past year among adults,54.49666666666667,40.3,64.7,490613.13333333336
Arizona,Visits to doctor for routine checkup within the past year among adults,70.28,62.5,80.2,490613.13333333336
Arkansas,All teeth lost among adults aged >=65 years,22.02133333333333,9.8,41.6,40608.49333333333
Arkansas,Any disability among adults,41.27066666666667,26.4,53.9,40608.49333333333
Arkansas,Arthritis among adults,32.684666666666665,22.2,44.8,40608.49333333333
Arkansas,Binge drinking among adults,15.863333333333333,8.8,22.9,40608.49333333333
Arkansas,Cancer (non-skin) or melanoma among adults,8.058,5.1,13.3,40608.49333333333
Arkansas,Cholesterol screening among adults,82.16,73.8,88.9,40608.49333333333
Arkansas,Chronic obstructive pulmonary disease among adults,9.908666666666667,5.3,17.3,40608.49333333333
Arkansas,Cognitive disability among adults,19.516000000000002,12.3,26.3,40608.49333333333
Arkansas,Colorectal cancer screening among adults aged 45–75 years,58.17333333333333,44.6,73.3,40608.49333333333
Arkansas,Coronary heart disease among adults,8.808,5.6,15.0,40608.49333333333
Arkansas,Current asthma among adults,11.316,8.6,14.6,40608.49333333333
Arkansas,Current cigarette smoking among adults,21.438,12.0,29.9,40608.49333333333
Arkansas,Current lack of health insurance among adults aged 18-64 years,10.691333333333334,5.2,22.9,40608.49333333333
Arkansas,Depression among adults,27.503333333333334,19.5,36.1,40608.49333333333
Arkansas,Diagnosed diabetes among adults,14.935333333333334,9.2,24.7,40608.49333333333
Arkansas,Fair or poor self-rated health status among adults,26.160666666666668,15.1,38.8,40608.49333333333
Arkansas,Frequent mental distress among adults,21.04866666666667,15.3,26.5,40608.49333333333
Arkansas,Frequent physical distress among adults,17.406666666666666,10.9,24.7,40608.49333333333
Arkansas,Hearing disability among adults,8.753333333333334,5.6,15.2,40608.49333333333
Arkansas,High blood pressure among adults,40.826,28.4,56.5,40608.49333333333
Arkansas,High cholesterol among adults who have ever been screened,35.471333333333334,25.4,50.0,40608.49333333333
Arkansas,Independent living disability among adults,11.038,5.9,16.5,40608.49333333333
Arkansas,Mammography use among women aged 50-74 years,70.43599999999999,54.4,82.6,40608.49333333333
Arkansas,Mobility disability among adults,19.902,10.7,31.6,40608.49333333333
Arkansas,No leisure-time physical activity among adults,34.18066666666667,20.1,48.6,40608.49333333333
Arkansas,Obesity among adults,39.608,27.6,58.4,40608.49333333333
Arkansas,Self-care disability among adults,5.31,2.5,9.5,40608.49333333333
Arkansas,Short sleep duration among adults,40.413333333333334,29.1,57.0,40608.49333333333
Arkansas,Stroke among adults,4.511333333333334,2.5,7.7,40608.49333333333
Arkansas,Taking medicine to control high blood pressure among adults with high blood pressure,71.254,53.6,86.6,40608.49333333333
Arkansas,Vision disability among adults,7.2,3.9,12.4,40608.49333333333
Arkansas,Visited dentist or dental clinic in the past year among adults,50.17733333333334,35.6,66.4,40608.49333333333
Arkansas,Visits to doctor for routine checkup within the past year among adults,77.786,68.4,85.6,40608.49333333333
California,All teeth lost among adults aged >=65 years,11.65,3.4,26.4,672919.6896551724
California,Any disability among adults,31.111206896551725,17.0,45.0,672919.6896551724
California,Arthritis among adults,23.27758620689655,14.0,38.6,672919.6896551724
California,Binge drinking among adults,19.00862068965517,12.2,27.4,672919.6896551724
California,Cancer (non-skin) or melanoma among adults,7.547413793103448,4.7,13.7,672919.6896551724
California,Cholesterol screening among adults,84.27241379310345,75.8,92.3,672919.6896551724
California,Chronic obstructive pulmonary disease among adults,6.391379310344828,2.9,12.1,672919.6896551724
California,Cognitive disability among adults,14.949137931034482,7.6,23.0,672919.6896551724
California,Colorectal cancer screening among adults aged 45–75 years,57.71465517241379,40.0,74.2,672919.6896551724
California,Coronary heart disease among adults,6.327586206896552,3.8,11.8,672919.6896551724
California,Current asthma among adults,10.339655172413794,7.5,13.2,672919.6896551724
California,Current cigarette smoking among adults,13.15,6.2,21.8,672919.6896551724
California,Current lack of health insurance among adults aged 18-64 years,9.036206896551725,2.4,24.8,672919.6896551724
California,Depression among adults,22.38706896551724,14.5,30.8,672919.6896551724
California,Diagnosed diabetes among adults,11.056896551724137,6.2,17.4,672919.6896551724
California,Fair or poor self-rated health status among adults,19.3801724137931,9.3,31.9,672919.6896551724
California,Feeling socially isolated among adults,35.564655172413794,25.8,44.9,672919.6896551724
California,Food insecurity in the past 12 months among adults,15.825862068965517,6.6,32.6,672919.6896551724
California,Frequent mental distress among adults,17.275862068965516,10.8,23.0,672919.6896551724
California,Frequent physical distress among adults,13.96896551724138,8.2,20.5,672919.6896551724
California,Hearing disability among adults,7.021551724137931,4.1,12.3,672919.6896551724
California,High blood pressure among adults,29.36810344827586,18.5,45.1,672919.6896551724
California,High cholesterol among adults who have ever been screened,32.775862068965516,23.3,46.2,672919.6896551724
California,Housing insecurity in the past 12 months among adults,14.033620689655173,6.2,26.9,672919.6896551724
California,Independent living disability among adults,8.325862068965517,4.1,12.8,672919.6896551724
California,Lack of reliable transportation in the past 12 months among adults,9.494827586206897,4.6,17.1,672919.6896551724
California,Lack of social and emotional support among adults,29.653448275862072,19.3,39.4,672919.6896551724
California,Mammography use among women aged 50-74 years,74.67241379310344,58.6,86.2,672919.6896551724
California,Mobility disability among adults,13.55948275862069,6.5,22.2,672919.6896551724
California,No leisure-time physical activity among adults,22.71551724137931,10.5,37.3,672919.6896551724
California,Obesity among adults,30.214655172413792,14.2,46.1,672919.6896551724
California,Received food stamps in the past 12 months among adults,15.273275862068965,5.5,32.9,672919.6896551724
California,Self-care disability among adults,3.9155172413793102,1.8,6.9,672919.6896551724
California,Short sleep duration among adults,34.78879310344828,23.2,48.5,672919.6896551724
California,Stroke among adults,3.377586206896552,1.9,6.0,672919.6896551724
California,Taking medicine to control high blood pressure among adults with high blood pressure,64.15086206896552,46.0,83.6,672919.6896551724
California,Utility services shut-off threat in the past 12 months among adults,7.3293103448275865,3.2,14.3,672919.6896551724
California,Vision disability among adults,5.938793103448275,2.7,11.2,672919.6896551724
California,Visited dentist or dental clinic in the past year among adults,61.61724137931035,45.4,78.7,672919.6896551724
California,Visits to doctor for routine checkup within the past year among adults,69.73103448275862,60.4,79.5,672919.6896551724
Colorado,All teeth lost among adults aged >=65 years,11.91875,3.6,29.6,91248.84375
Colorado,Any disability among adults,27.74921875,15.7,43.9,91248.84375
Colorado,Arthritis among adults,25.72421875,17.3,38.1,91248.84375
Colorado,Binge drinking among adults,19.4265625,11.0,29.1,91248.84375
Colorado,Cancer (non-skin) or melanoma among adults,8.2859375,5.2,14.2,91248.84375
Colorado,Cholesterol screening among adults,82.209375,71.7,91.1,91248.84375
Colorado,Chronic obstructive pulmonary disease among adults,6.56875,3.2,13.2,91248.84375
Colorado,Cognitive disability among adults,13.81328125,8.3,21.4,91248.84375
Colorado,Colorectal cancer screening among adults aged 45–75 years,59.69453125,42.3,76.2,91248.84375
Colorado,Coronary heart disease among adults,6.3421875,3.6,12.5,91248.84375
Colorado,Current asthma among adults,10.9171875,8.5,14.4,91248.84375
Colorado,Current cigarette smoking among adults,13.96484375,7.0,23.0,91248.84375
Colorado,Current lack of health insurance among adults aged 18-64 years,10.509375,3.6,25.7,91248.84375
Colorado,Depression among adults,23.1515625,17.2,32.2,91248.84375
Colorado,Diagnosed diabetes among adults,9.30390625,5.1,20.1,91248.84375
Colorado,Fair or poor self-rated health status among adults,16.58828125,8.6,30.6,91248.84375
Colorado,Frequent mental distress among adults,16.759375,11.6,24.0,91248.84375
Colorado,Frequent physical distress among adults,12.9421875,7.7,20.7,91248.84375
Colorado,Hearing disability among adults,6.83515625,3.9,12.9,91248.84375
Colorado,High blood pressure among adults,27.80546875,17.2,42.0,91248.84375
Colorado,High cholesterol among adults who have ever been screened,30.42421875,21.0,44.1,91248.84375
Colorado,Independent living disability among adults,7.5765625,4.1,13.2,91248.84375
Colorado,Mammography use among women aged 50-74 years,69.7875,54.2,82.9,91248.84375
Colorado,Mobility disability among adults,11.78125,5.6,23.6,91248.84375
Colorado,No leisure-time physical activity among adults,19.43984375,9.9,36.1,91248.84375
Colorado,Obesity among adults,27.62890625,15.0,42.2,91248.84375
Colorado,Self-care disability among adults,3.5640625,1.6,7.5,91248.84375
Colorado,Short sleep duration among adults,31.18203125,19.4,43.5,91248.84375
Colorado,Stroke among adults,3.290625,1.8,6.5,91248.84375
Colorado,Taking medicine to control high blood pressure among adults with high blood pressure,64.09296875,45.7,84.8,91248.84375
Colorado,Vision disability among adults,5.11015625,2.6,10.8,91248.84375
Colorado,Visited dentist or dental clinic in the past year among adults,61.8828125,43.9,77.5,91248.84375
Colorado,Visits to doctor for routine checkup within the past year among adults,68.37109375,59.1,79.3,91248.84375
Connecticut,All teeth lost among adults aged >=65 years,10.066666666666666,6.4,14.8,402911.6666666667
Connecticut,Any disability among adults,25.36111111111111,19.1,32.0,402911.6666666667
Connecticut,Arthritis among adults,25.51111111111111,19.1,33.9,402911.6666666667
Connecticut,Binge drinking among adults,17.677777777777777,13.7,22.7,402911.6666666667
Connecticut,Cancer (non-skin) or melanoma among adults,16.105555555555554,6.8,27.1,402911.6666666667
Connecticut,Cholesterol screening among adults,88.15,84.6,92.0,402911.6666666667
Connecticut,Chronic obstructive pulmonary disease among adults,14.950000000000001,4.6,27.1,402911.6666666667
Connecticut,Cognitive disability among adults,17.950000000000003,9.3,27.1,402911.6666666667
Connecticut,Colorectal cancer screening among adults aged 45–75 years,69.30555555555556,62.3,77.4,402911.6666666667
Connecticut,Coronary heart disease among adults,5.866666666666666,4.4,8.2,402911.6666666667
Connecticut,Current asthma among adults,11.922222222222222,9.4,14.1,402911.6666666667
Connecticut,Current cigarette smoking among adults,17.83888888888889,8.7,27.1,402911.6666666667
Connecticut,Current lack of health insurance among adults aged 18-64 years,12.994444444444445,5.4,20.7,402911.6666666667
Connecticut,Depression among adults,22.783333333333335,16.5,27.4,402911.6666666667
Connecticut,Diagnosed diabetes among adults,16.799999999999997,7.5,27.1,402911.6666666667
Connecticut,Fair or poor self-rated health status among adults,19.477777777777778,11.9,27.1,402911.6666666667
Connecticut,Feeling socially isolated among adults,32.916666666666664,26.1,40.0,402911.6666666667
Connecticut,Food insecurity in the past 12 months among adults,14.083333333333334,8.2,22.5,402911.6666666667
Connecticut,Frequent mental distress among adults,16.41111111111111,12.6,20.0,402911.6666666667
Connecticut,Frequent physical distress among adults,11.93888888888889,9.3,14.9,402911.6666666667
Connecticut,Hearing disability among adults,6.011111111111111,4.7,8.4,402911.6666666667
Connecticut,High blood pressure among adults,29.233333333333334,22.1,36.9,402911.6666666667
Connecticut,High cholesterol among adults who have ever been screened,31.622222222222224,24.3,39.2,402911.6666666667
Connecticut,Housing insecurity in the past 12 months among adults,13.172222222222222,7.9,20.8,402911.6666666667
Connecticut,Independent living disability among adults,7.199999999999999,5.3,8.7,402911.6666666667
Connecticut,Lack of reliable transportation in the past 12 months among adults,8.238888888888889,5.5,11.8,402911.6666666667
Connecticut,Lack of social and emotional support among adults,25.094444444444445,19.4,30.5,402911.6666666667
Connecticut,Mammography use among women aged 50-74 years,78.58888888888889,69.0,85.2,402911.6666666667
Connecticut,Mobility disability among adults,11.149999999999999,7.9,14.3,402911.6666666667
Connecticut,No leisure-time physical activity among adults,23.73888888888889,17.5,29.4,402911.6666666667
Connecticut,Obesity among adults,30.77777777777778,21.9,38.1,402911.6666666667
Connecticut,Received food stamps in the past 12 months among adults,13.144444444444444,7.4,19.9,402911.6666666667
Connecticut,Self-care disability among adults,3.3777777777777778,2.4,4.6,402911.6666666667
Connecticut,Short sleep duration among adults,35.983333333333334,28.1,42.6,402911.6666666667
Connecticut,Stroke among adults,3.0277777777777777,2.3,3.8,402911.6666666667
Connecticut,Taking medicine to control high blood pressure among adults with high blood pressure,68.43333333333334,50.8,83.9,402911.6666666667
Connecticut,Utility services shut-off threat in the past 12 months among adults,8.644444444444444,5.3,13.2,402911.6666666667
Connecticut,Vision disability among adults,5.038888888888889,3.5,7.0,402911.6666666667
Connecticut,Visited dentist or dental clinic in the past year among adults,70.4388888888889,65.1,78.3,402911.6666666667
Connecticut,Visits to doctor for routine checkup within the past year among adults,77.37222222222222,72.5,82.4,402911.6666666667
Delaware,All teeth lost among adults aged >=65 years,13.166666666666666,10.4,17.2,339465.3333333333
Delaware,Any disability among adults,27.633333333333336,23.1,33.0,339465.3333333333
Delaware,Arthritis among adults,27.71666666666667,20.6,36.2,339465.3333333333
Delaware,Binge drinking among adults,15.9,11.7,21.3,339465.3333333333
Delaware,Cancer (non-skin) or melanoma among adults,8.033333333333333,6.0,12.7,339465.3333333333
Delaware,Cholesterol screening among adults,86.78333333333335,82.3,91.6,339465.3333333333
Delaware,Chronic obstructive pulmonary disease among adults,6.966666666666666,5.2,10.1,339465.3333333333
Delaware,Cognitive disability among adults,13.233333333333334,10.5,15.6,339465.3333333333
Delaware,Colorectal cancer screening among adults aged 45–75 years,63.583333333333336,53.1,73.7,339465.3333333333
Delaware,Coronary heart disease among adults,6.516666666666667,4.9,10.5,339465.3333333333
Delaware,Current asthma among adults,11.083333333333334,9.2,13.4,339465.3333333333
Delaware,Current cigarette smoking among adults,14.533333333333333,12.0,17.6,339465.3333333333
Delaware,Current lack of health insurance among adults aged 18-64 years,8.65,5.0,13.9,339465.3333333333
Delaware,Depression among adults,20.483333333333334,17.0,24.8,339465.3333333333
Delaware,Diagnosed diabetes among adults,12.116666666666667,8.6,16.0,339465.3333333333
Delaware,Fair or poor self-rated health status among adults,16.650000000000002,13.8,19.4,339465.3333333333
Delaware,Feeling socially isolated among adults,30.783333333333335,23.8,37.8,339465.3333333333
Delaware,Food insecurity in the past 12 months among adults,15.200000000000001,11.1,22.5,339465.3333333333
Delaware,Frequent mental distress among adults,15.966666666666667,12.6,19.1,339465.3333333333
Delaware,Frequent physical distress among adults,11.833333333333334,9.9,14.5,339465.3333333333
Delaware,Hearing disability among adults,6.55,5.0,10.0,339465.3333333333
Delaware,High blood pressure among adults,34.43333333333333,28.0,44.9,339465.3333333333
Delaware,High cholesterol among adults who have ever been screened,34.28333333333333,27.2,45.6,339465.3333333333
Delaware,Housing insecurity in the past 12 months among adults,13.716666666666667,9.3,19.5,339465.3333333333
Delaware,Independent living disability among adults,7.45,6.5,8.4,339465.3333333333
Delaware,Lack of reliable transportation in the past 12 months among adults,8.866666666666667,6.7,12.4,339465.3333333333
Delaware,Lack of social and emotional support among adults,23.96666666666667,19.3,29.5,339465.3333333333
Delaware,Mammography use among women aged 50-74 years,77.5,66.2,85.7,339465.3333333333
Delaware,Mobility disability among adults,12.633333333333333,9.7,17.1,339465.3333333333
Delaware,No leisure-time physical activity among adults,23.900000000000002,19.6,29.6,339465.3333333333
Delaware,Obesity among adults,38.35,32.4,45.3,339465.3333333333
Delaware,Received food stamps in the past 12 months among adults,13.516666666666666,8.9,21.6,339465.3333333333
Delaware,Self-care disability among adults,3.516666666666667,2.9,4.2,339465.3333333333
Delaware,Short sleep duration among adults,36.833333333333336,28.0,46.3,339465.3333333333
Delaware,Stroke among adults,3.5833333333333335,2.8,5.0,339465.3333333333
Delaware,Taking medicine to control high blood pressure among adults with high blood pressure,71.25,55.1,87.6,339465.3333333333
Delaware,Utility services shut-off threat in the past 12 months among adults,8.983333333333333,5.8,13.6,339465.3333333333
Delaware,Vision disability among adults,4.8999999999999995,4.1,5.7,339465.3333333333
Delaware,Visited dentist or dental clinic in the past year among adults,62.333333333333336,57.2,67.4,339465.3333333333
Delaware,Visits to doctor for routine checkup within the past year among adults,78.03333333333333,72.2,85.4,339465.3333333333
District of Columbia,All teeth lost among adults aged >=65 years,7.3,5.9,8.8,671803.0
District of Columbia,Any disability among adults,20.4,17.3,23.6,671803.0
District of Columbia,Arthritis among adults,18.4,16.6,21.9,671803.0
District of Columbia,Binge drinking among adults,23.950000000000003,20.0,28.2,671803.0
District of Columbia,Cancer (non-skin) or melanoma among adults,5.85,5.1,6.7,671803.0
District of Columbia,Cholesterol screening among adults,88.3,85.2,90.8,671803.0
District of Columbia,Chronic obstructive pulmonary disease among adults,4.5,3.8,5.2,671803.0
District of Columbia,Cognitive disability among adults,10.45,9.2,11.7,671803.0
District of Columbia,Colorectal cancer screening among adults aged 45–75 years,67.7,61.5,73.2,671803.0
District of Columbia,Coronary heart disease among adults,4.5,3.8,5.1,671803.0
District of Columbia,Current asthma among adults,10.45,9.3,11.7,671803.0
District of Columbia,Current cigarette smoking among adults,11.3,9.8,12.9,671803.0
District of Columbia,Current lack of health insurance among adults aged 18-64 years,5.65,4.5,7.0,671803.0
District of Columbia,Depression among adults,20.5,17.0,24.3,671803.0
District of Columbia,Diagnosed diabetes among adults,8.3,6.9,9.9,671803.0
District of Columbia,Fair or poor self-rated health status among adults,12.45,10.7,14.3,671803.0
District of Columbia,Feeling socially isolated among adults,36.099999999999994,31.1,41.0,671803.0
District of Columbia,Food insecurity in the past 12 months among adults,14.2,12.7,15.7,671803.0
District of Columbia,Frequent mental distress among adults,14.2,12.5,16.0,671803.0
District of Columbia,Frequent physical distress among adults,8.7,7.6,9.9,671803.0
District of Columbia,Hearing disability among adults,4.05,3.5,4.7,671803.0
District of Columbia,High blood pressure among adults,28.85,24.8,33.3,671803.0
District of Columbia,High cholesterol among adults who have ever been screened,29.4,25.8,33.4,671803.0
District of Columbia,Housing insecurity in the past 12 months among adults,14.2,12.9,15.6,671803.0
District of Columbia,Independent living disability among adults,6.0,5.3,6.7,671803.0
District of Columbia,Lack of reliable transportation in the past 12 months among adults,9.350000000000001,8.5,10.2,671803.0
District of Columbia,Lack of social and emotional support among adults,25.65,22.0,29.3,671803.0
District of Columbia,Mammography use among women aged 50-74 years,77.2,70.9,82.6,671803.0
